Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $
WDC,1,--,--,227.75,--,--,225.5,-2.25
    Sell,1,1/15/2026,227.75,227.75,1/15/2026,225.5,225.5,-2.25
DG,1,--,--,151.89,--,--,150.37,-1.52
    Sell,1,1/15/2026,151.89,151.89,1/16/2026,150.37,150.37,-1.52
DLTR,4,--,--,564.07,--,--,554.32,-6.35
    Sell,2,1/16/2026,141.74,283.49,1/16/2026,138.57,277.14,-6.35
    Sell,2,1/15/2026,140.29,280.58,1/15/2026,138.59,277.18,0
DOC,1,--,--,17.44,--,--,17.61,0.17
    Sell,1,1/15/2026,17.44,17.44,1/16/2026,17.61,17.61,0.17
DRI,1,--,--,207.45,--,--,209.32,1.87
    Sell,1,1/14/2026,207.45,207.45,1/15/2026,209.32,209.32,1.87
DTE,2,--,--,268.3,--,--,270.87,2.57
    Sell,2,1/14/2026,134.15,268.3,1/16/2026,135.44,270.87,2.57
EPAM,2,--,--,441.41,--,--,440.31,-1.1
    Sell,1,1/15/2026,221.29,221.29,1/15/2026,218.91,218.91,-2.38
    Sell,1,1/14/2026,220.12,220.12,1/15/2026,221.4,221.4,1.28
EXR,2,--,--,295.5,--,--,298.36,2.86
    Sell,2,1/16/2026,147.75,295.5,1/16/2026,149.18,298.36,2.86
FCX,5,--,--,302.58,--,--,295.6000014,-4.19
    Sell,3.001,1/14/2026,60.52,181.63,1/15/2026,59.13,177.440001,-4.19
    Sell,1.999,1/14/2026,60.51,120.95,1/15/2026,59.11,118.1600004,0
CTSH,1,--,--,85.77,--,--,84.9,-0.87
    Sell,1,1/8/2026,85.77,85.77,1/12/2026,84.9,84.9,-0.87
CRL,2,--,--,447.3,--,--,446.97,-0.33
    Sell,1,1/16/2026,227.21,227.21,1/16/2026,224.9,224.9,-2.31
    Sell,1,1/15/2026,220.09,220.09,1/15/2026,222.07,222.07,1.98
CPAY,2,--,--,662.69,--,--,655.3,-7.39
    Sell,2,1/8/2026,331.34,662.69,1/13/2026,327.65,655.3,-7.39
ADI,1,--,--,303.66,--,--,306.93,3.27
    Sell,1,1/15/2026,303.66,303.66,1/16/2026,306.93,306.93,3.27
AKAM,18,--,--,1646.09,--,--,1628.689995,-17.4
    Sell,3,1/12/2026,91.43,274.3,1/13/2026,90.48,271.449999,-2.85
    Sell,3,1/12/2026,91.33,274,1/13/2026,90.48,271.449999,-2.55
    Sell,3,1/12/2026,91.42,274.27,1/13/2026,90.48,271.449999,-2.82
    Sell,3,1/12/2026,91.48,274.43,1/13/2026,90.48,271.44,-2.99
    Sell,3,1/12/2026,91.74,275.22,1/13/2026,90.48,271.449999,-3.77
    Sell,3,1/12/2026,91.29,273.87,1/13/2026,90.48,271.449999,-2.42
ALB,1,--,--,178.72,--,--,176.33,-2.39
    Sell,1,1/14/2026,178.72,178.72,1/15/2026,176.33,176.33,-2.39
AMP,1,--,--,511.61,--,--,504,-7.61
    Sell,1,1/5/2026,511.61,511.61,1/13/2026,504,504,-7.61
AVY,1,--,--,188.49,--,--,186.47,-2.02
    Sell,1,1/14/2026,188.49,188.49,1/16/2026,186.47,186.47,-2.02
BA,2,--,--,489.92,--,--,490.43,3.36
    Sell,1,1/15/2026,248.31,248.31,1/16/2026,245.46,245.46,0
    Sell,1,1/14/2026,241.61,241.61,1/15/2026,244.97,244.97,3.36
CCL,1,--,--,30,--,--,29.69,-0.31
    Sell,1,1/15/2026,30,30,1/15/2026,29.69,29.69,-0.31
CHRW,2,--,--,346.46,--,--,349.62,3.16
    Sell,2,1/14/2026,173.23,346.46,1/15/2026,174.81,349.62,3.16
GEHC,2,--,--,169.11,--,--,172.21,3.1
    Sell,1,1/15/2026,83.74,83.74,1/15/2026,82.89,82.89,-0.85
    Sell,1,1/5/2026,85.37,85.37,1/8/2026,89.32,89.32,3.95
GOOGL,1,--,--,335.29,--,--,331.81,-3.48
    Sell,1,1/14/2026,335.29,335.29,1/15/2026,331.81,331.81,-3.48
GS,3,--,--,2862.03,--,--,2832.82,-29.21
    Sell,1,1/5/2026,956.34,956.34,1/12/2026,944.27,944.27,-12.07
    Sell,1,1/5/2026,952.6,952.6,1/12/2026,944.28,944.28,-8.32
    Sell,1,1/5/2026,953.09,953.09,1/12/2026,944.27,944.27,-8.82
PCAR,1,--,--,119.13,--,--,120.38,1.25
    Sell,1,1/14/2026,119.13,119.13,1/15/2026,120.38,120.38,1.25
RTX,1,--,--,196.55,--,--,198.53,1.98
    Sell,1,1/14/2026,196.55,196.55,1/14/2026,198.53,198.53,1.98
SWK,4,--,--,334.13,--,--,336.9,2.77
    Sell,4,1/14/2026,83.53,334.13,1/15/2026,84.22,336.9,2.77
TECH,5,--,--,344.5,--,--,347.88,3.38
    Sell,5,1/15/2026,68.9,344.5,1/15/2026,69.58,347.88,3.38
TXT,3,--,--,281.71,--,--,278.919999,-2.79
    Sell,3,1/15/2026,93.9,281.71,1/15/2026,92.97,278.919999,-2.79
ULTA,1,--,--,632.72,--,--,657.45,24.73
    Sell,1,1/5/2026,632.72,632.72,1/8/2026,657.45,657.45,24.73
VLO,1,--,--,185.16,--,--,182.97,-2.19
    Sell,1,1/15/2026,185.16,185.16,1/16/2026,182.97,182.97,-2.19
WAB,2,--,--,456.38,--,--,456.85,2.82
    Sell,1,1/15/2026,230.24,230.24,1/15/2026,227.89,227.89,0
    Sell,1,1/14/2026,226.14,226.14,1/15/2026,228.96,228.96,2.82
ODFL,2,--,--,346.19,--,--,349.64,3.45
    Sell,2,1/14/2026,173.1,346.19,1/15/2026,174.82,349.64,3.45
NDAQ,3,--,--,301.87,--,--,304.989999,3.12
    Sell,3,1/15/2026,100.62,301.87,1/16/2026,101.66,304.989999,3.12
MS,2,--,--,373.63,--,--,369.82,-3.81
    Sell,2,1/5/2026,186.82,373.63,1/13/2026,184.91,369.82,-3.81
IEX,2,--,--,384.35,--,--,388.41,4.06
    Sell,1,1/16/2026,195.18,195.18,1/16/2026,197.15,197.15,1.97
    Sell,1,1/14/2026,189.17,189.17,1/15/2026,191.26,191.26,2.09
IRM,3,--,--,278.43,--,--,281.13,2.7
    Sell,3,1/16/2026,92.81,278.43,1/16/2026,93.71,281.13,2.7
IVZ,7,--,--,201.04,--,--,203.07,2.03
    Sell,7,1/15/2026,28.72,201.04,1/15/2026,29.01,203.07,2.03
JBHT,1,--,--,205.61,--,--,207.52,1.91
    Sell,1,1/14/2026,205.61,205.61,1/15/2026,207.52,207.52,1.91
JKHY,1,--,--,191.46,--,--,191.9,0.44
    Sell,1,1/14/2026,191.46,191.46,1/15/2026,191.9,191.9,0.44
