time_et,symbol,action,type,qty,price,status,details
2025-09-10 14:26:25,CVS,SELL,LIMIT,1,73.4500,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:26:34,PCG,SELL,LIMIT,1,15.3700,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:26:56,CVS,SELL,LIMIT,1,73.4400,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:27:06,PCG,SELL,LIMIT,1,15.3600,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:27:30,CVS,SELL,LIMIT,1,73.4500,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:27:39,PCG,SELL,LIMIT,1,15.3600,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:28:01,CVS,SELL,LIMIT,1,73.4600,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:28:12,PCG,SELL,LIMIT,1,15.3500,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:28:34,CVS,SELL,LIMIT,1,73.4300,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:28:43,PCG,SELL,LIMIT,1,15.3600,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:29:08,CVS,SELL,LIMIT,1,73.4200,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:29:17,PCG,SELL,LIMIT,1,15.3600,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:29:51,PCG,SELL,LIMIT,1,15.3600,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:30:15,CVS,SELL,LIMIT,1,73.4300,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:30:24,PCG,SELL,LIMIT,1,15.3500,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:30:47,CVS,SELL,LIMIT,1,73.4200,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:30:57,PCG,SELL,LIMIT,1,15.3400,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
